-123.12,49.3,2.5,CAE01108446,VANCOUVER HARBOUR CS
-123.19,49.35,170.2,CAE01108824,WEST VANCOUVER AUT
-122.78,49.02,13.0,CAE01108910,WHITE ROCK CAMPBELL SCIENTIFIC
-123.11,49.29,0.0,CAE0110Q44V,VANCOUVER HARBOUR
-121.5,49.37,39.0,CAE01113542,HOPE A
-121.49,49.37,39.0,CAE01113543,HOPE AIRPORT
-121.93,50.68,239.5,CAE01114619,LILLOOET
-121.58,50.22,224.9,CAE01114738,LYTTON A
-121.58,50.22,225.0,CAE01114746,LYTTON RCS
-119.38,49.96,433.1,CAE01123939,KELOWNA
-119.4,49.94,456.0,CAE01123996,KELOWNA UBCO
-120.78,50.11,591.0,CAE01125073,MERRITT
-119.44,49.03,282.9,CAE01125852,OSOYOOS CS
-119.6,49.46,344.4,CAE01126146,PENTICTON A
-120.51,49.47,701.6,CAE01126518,PRINCETON A
-119.19,50.22,482.0,CAE01128582,VERNON AUTO
-120.51,49.47,696.5,CAE0112FN0M,PRINCETON CS
-119.65,49.56,454.2,CAE0112G8L1,SUMMERLAND CS
-117.63,49.3,495.6,CAE01141460,CASTLEGAR A
-117.82,50.27,512.1,CAE01145297,NAKUSP CS
-117.31,49.49,534.9,CAE01145M29,NELSON CS
-117.74,49.11,566.9,CAE01148705,WARFIELD RCS
-116.5,49.08,640.7,CAE0114B1F0,CRESTON CAMPBELL SCIENTIFIC
-115.78,49.61,940.0,CAE01152105,CRANBROOK A
-115.79,49.62,926.7,CAE01152106,CRANBROOK AIRPORT AUTO
-114.88,49.75,1136.7,CAE01157631,SPARWOOD CS
-114.88,49.83,1158.2,CAE01157635,SPARWOOD A
-121.28,50.71,327.0,CAE01160515,ASHCROFT
-119.29,52.12,690.4,CAE01160902,BLUE RIVER A
-119.29,52.13,682.8,CAE01160H99,BLUE RIVER CS
-120.08,51.65,438.0,CAE01161650,CLEARWATER AUTO
-121.68,51.27,1126.2,CAE01161662,CLINTON A
-121.5,51.14,1059.0,CAE01161663,CLINTON RCS
-120.45,50.7,345.3,CAE01163781,KAMLOOPS A
-120.44,50.7,345.0,CAE01163842,KAMLOOPS AUT
-119.29,50.7,350.5,CAE0116FRMN,SALMON ARM CS
-116.98,51.3,784.9,CAE01173214,GOLDEN A
-116.98,51.3,785.0,CAE01173220,GOLDEN AIRPORT
-118.18,50.97,444.7,CAE01176745,REVELSTOKE A
-118.18,50.96,444.7,CAE01176755,REVELSTOKE AIRPORT AUTO
-116.34,51.44,1602.0,CAE011790J1,YOHO PARK
-121.63,55.69,609.3,CAE01181513,CHETWYND A
-120.18,55.74,654.7,CAE01182289,DAWSON CREEK A
-120.74,56.24,694.9,CAE01183001,FORT ST. JOHN A
-120.75,56.25,695.0,CAE01183002,FORT ST JOHN AIRPORT
-123.13,55.3,690.1,CAE01184791,MACKENZIE
-123.14,55.31,694.0,CAE01184793,MACKENZIE AIRPORT AUTO
-130.03,58.42,802.8,CAE01192341,DEASE LAKE A
-122.6,58.84,381.9,CAE01192946,FORT NELSON A
-122.57,58.84,380.2,CAE01192948,FORT NELSON
-130.03,58.43,800.7,CAE0119BLM0,DEASE LAKE (AUT)
-140.87,62.41,649.5,CAE02100155,BEAVER CREEK A
-139.04,61.37,805.3,CAE02100181,BURWASH A
-139.02,61.37,807.0,CAE02100184,BURWASH AIRPORT AUTO
-136.19,62.12,542.9,CAE02100301,CARMACKS CS
-139.13,64.04,370.3,CAE02100407,DAWSON CITY A
-133.38,62.21,716.6,CAE02100518,FARO (AUT)
-133.37,62.21,716.3,CAE02100527,FARO A
-137.58,60.77,595.3,CAE02100630,HAINES JUNCTION
-138.91,69.57,1.2,CAE02100636,HERSCHEL ISLAND
-140.15,69.16,243.8,CAE02100660,IVVAVIK NAT. PARK
-130.04,63.24,1379.0,CAE02100693,MACMILLAN PASS
-140.85,68.8,568.0,CAE02100697,MARGARET LAKE
-135.87,63.62,503.8,CAE02100701,MAYO A
-135.87,63.62,503.8,CAE02100702,MAYO A
-139.84,67.57,251.2,CAE02100805,OLD CROW RCS
-139.84,67.57,250.2,CAE02100807,OLD CROW A
-137.37,62.82,454.2,CAE02100881,PELLY RANCH FORT SELKIRK
-136.22,66.98,731.0,CAE02100935,ROCK RIVER
-139.13,64.06,370.0,CAE02100LRP,DAWSON
-132.73,60.17,705.0,CAE02101102,TESLIN (AUT)
-132.74,60.17,705.0,CAE02101106,TESLIN A
